Date : 2024/09/17 16:56:08
Nom du projet : Pharynx-silicone-H3-2
Emplacement du projet : P:\Projets_2024\COSSE\Pharynx-silicone-H3-2\
L�gende : 
	Niveau de r�f�rence : 0
	Niveau courant : 3
	Param�tres Q4 : 
		Taille d'un �l�ment : 64
		Nombre maximum d'it�rations : 5
		Seuil de convergence : 0.001
Commentaires utilisateurs : 
	Op�rateur : 
	Lieu : 
	Date : 
	Distance Cam�ras : 
	Angle cam�ras : 
	Distance du Capteur � l'objet : 

X(px)	Y(px)	X0(mm)	Y0(mm)	Z0(mm)	DX(mm)	DY(mm)	DZ(mm)	
1346.00	411.00	2.52	22.86	-1.38	0.52	-0.06	0.24	
1409.00	411.00	5.05	22.84	-1.71	0.53	-0.08	0.24	
1472.00	411.00	7.57	22.85	-1.43	0.54	-0.10	0.25	
1535.00	411.00	10.22	22.80	-3.21	0.53	-0.12	0.23	
1598.00	411.00	12.91	22.81	-4.70	0.53	-0.13	0.23	
1661.00	411.00	15.63	22.81	-6.10	0.54	-0.15	0.21	
1724.00	411.00	18.54	22.72	-8.62	0.53	-0.15	0.23	
1787.00	411.00	21.62	22.63	-11.76	0.48	-0.15	0.13	
842.00	474.00	-18.76	19.89	-10.61	0.55	0.35	0.07	
905.00	474.00	-16.11	19.84	-11.00	0.55	0.28	0.12	
968.00	474.00	-13.30	19.89	-9.49	0.51	0.21	0.13	
1031.00	474.00	-10.49	20.03	-7.15	0.50	0.15	0.13	
1094.00	474.00	-7.73	20.21	-4.37	0.50	0.10	0.16	
1157.00	474.00	-5.10	20.25	-2.56	0.48	0.05	0.15	
1220.00	474.00	-2.53	20.36	-0.56	0.51	-0.00	0.20	
1283.00	474.00	-0.01	20.42	0.29	0.49	-0.04	0.18	
1346.00	474.00	2.50	20.40	-0.11	0.50	-0.06	0.21	
1409.00	474.00	5.02	20.36	-0.48	0.51	-0.08	0.22	
1472.00	474.00	7.53	20.41	-0.37	0.51	-0.11	0.22	
1535.00	474.00	10.16	20.34	-1.98	0.51	-0.12	0.21	
1598.00	474.00	12.83	20.27	-3.40	0.51	-0.14	0.20	
1661.00	474.00	15.56	20.23	-4.98	0.52	-0.15	0.19	
1724.00	474.00	18.43	20.16	-7.25	0.51	-0.16	0.18	
1787.00	474.00	21.47	20.01	-10.27	0.47	-0.16	0.12	
842.00	537.00	-18.66	17.35	-9.28	0.53	0.36	0.09	
905.00	537.00	-16.03	17.27	-9.75	0.50	0.30	0.08	
968.00	537.00	-13.25	17.32	-8.51	0.47	0.21	0.08	
1031.00	537.00	-10.39	17.58	-5.17	0.47	0.15	0.10	
1094.00	537.00	-7.69	17.70	-2.97	0.45	0.10	0.09	
1157.00	537.00	-5.07	17.79	-1.13	0.46	0.04	0.13	
1220.00	537.00	-2.52	17.85	0.33	0.48	-0.01	0.16	
1283.00	537.00	-0.02	17.98	1.43	0.46	-0.05	0.14	
