Date : 2024/09/17 16:56:07
Nom du projet : Pharynx-silicone-H3-2
Emplacement du projet : P:\Projets_2024\COSSE\Pharynx-silicone-H3-2\
Légende : 
	Niveau de référence : 0
	Niveau courant : 2
	Paramètres Q4 : 
		Taille d'un élément : 64
		Nombre maximum d'itérations : 5
		Seuil de convergence : 0.001
Commentaires utilisateurs : 
	Opérateur : 
	Lieu : 
	Date : 
	Distance Caméras : 
	Angle caméras : 
	Distance du Capteur à l'objet : 

X(px)	Y(px)	X0(mm)	Y0(mm)	Z0(mm)	DX(mm)	DY(mm)	DZ(mm)	
1409.00	411.00	5.05	22.84	-1.71	1.01	-0.03	0.29	
1472.00	411.00	7.57	22.85	-1.43	1.02	-0.06	0.28	
1535.00	411.00	10.22	22.80	-3.21	1.00	-0.10	0.24	
1598.00	411.00	12.91	22.81	-4.70	0.99	-0.13	0.21	
1661.00	411.00	15.63	22.81	-6.10	0.98	-0.16	0.18	
1724.00	411.00	18.54	22.72	-8.62	0.97	-0.19	0.19	
1787.00	411.00	21.62	22.63	-11.76	0.89	-0.21	0.07	
842.00	474.00	-18.76	19.89	-10.61	0.95	0.48	0.25	
905.00	474.00	-16.11	19.84	-11.00	0.96	0.41	0.27	
968.00	474.00	-13.30	19.89	-9.49	0.94	0.35	0.27	
1031.00	474.00	-10.49	20.03	-7.15	0.94	0.28	0.26	
1094.00	474.00	-7.73	20.21	-4.37	0.96	0.22	0.31	
1157.00	474.00	-5.10	20.25	-2.56	0.95	0.16	0.28	
1220.00	474.00	-2.53	20.36	-0.56	0.98	0.10	0.33	
1283.00	474.00	-0.01	20.42	0.29	0.98	0.05	0.29	
1346.00	474.00	2.50	20.40	-0.11	0.98	0.01	0.29	
1409.00	474.00	5.02	20.36	-0.48	0.99	-0.03	0.28	
1472.00	474.00	7.53	20.41	-0.37	0.99	-0.07	0.26	
1535.00	474.00	10.16	20.34	-1.98	0.98	-0.11	0.22	
1598.00	474.00	12.83	20.27	-3.40	0.96	-0.14	0.19	
1661.00	474.00	15.56	20.23	-4.98	0.95	-0.17	0.15	
1724.00	474.00	18.43	20.16	-7.25	0.94	-0.19	0.14	
1787.00	474.00	21.47	20.01	-10.27	0.87	-0.21	0.05	
842.00	537.00	-18.66	17.35	-9.28	0.92	0.48	0.23	
905.00	537.00	-16.03	17.27	-9.75	0.90	0.42	0.21	
968.00	537.00	-13.25	17.32	-8.51	0.89	0.34	0.22	
1031.00	537.00	-10.39	17.58	-5.17	0.92	0.28	0.27	
1094.00	537.00	-7.69	17.70	-2.97	0.90	0.22	0.25	
1157.00	537.00	-5.07	17.79	-1.13	0.92	0.15	0.27	
1220.00	537.00	-2.52	17.85	0.33	0.95	0.10	0.31	
1283.00	537.00	-0.02	17.98	1.43	0.94	0.04	0.26	
1346.00	537.00	2.48	17.98	1.26	0.94	0.00	0.26	
1409.00	537.00	5.00	17.94	0.51	0.96	-0.04	0.25	
1472.00	537.00	7.50	17.94	0.66	0.95	-0.08	0.22	
1535.00	537.00	10.10	17.89	-0.76	0.94	-0.11	0.18	
1598.00	537.00	12.73	17.82	-1.89	0.94	-0.15	0.17	
1661.00	537.00	15.46	17.72	-3.61	0.92	-0.18	0.14	
1724.00	537.00	18.29	17.60	-5.72	0.91	-0.20	0.10	
1787.00	537.00	21.37	17.41	-9.06	0.85	-0.22	0.05	
905.00	600.00	-15.89	14.76	-7.88	0.84	0.39	0.19	
968.00	600.00	-13.14	14.85	-6.59	0.84	0.34	0.21	
1031.00	600.00	-10.33	15.08	-3.73	0.88	0.28	0.28	
1094.00	600.00	-7.67	15.15	-2.16	0.85	0.21	0.22	
1157.00	600.00	-5.05	15.38	0.13	0.89	0.15	0.26	
1220.00	600.00	-2.51	15.49	1.58	0.91	0.10	0.27	
1283.00	600.00	-0.02	15.57	2.23	0.91	0.04	0.24	
1346.00	600.00	2.48	15.50	1.59	0.91	0.00	0.23	
1409.00	600.00	4.99	15.46	1.14	0.92	-0.04	0.21	
1472.00	600.00	7.48	15.49	1.32	0.92	-0.08	0.19	
1535.00	600.00	10.06	15.42	0.32	0.91	-0.12	0.16	
