Date : 2024/09/17 16:56:07
Nom du projet : Pharynx-silicone-H3-2
Emplacement du projet : P:\Projets_2024\COSSE\Pharynx-silicone-H3-2\
Légende : 
	Niveau de référence : 0
	Niveau courant : 2
	Paramètres Q4 : 
		Taille d'un élément : 64
		Nombre maximum d'itérations : 5
		Seuil de convergence : 0.001
Commentaires utilisateurs : 
	Opérateur : 
	Lieu : 
	Date : 
	Distance Caméras : 
	Angle caméras : 
	Distance du Capteur à l'objet : 

X(px)	Y(px)	X0(mm)	Y0(mm)	Z0(mm)	DX(mm)	DY(mm)	DZ(mm)	
1094.00	1671.00	-7.77	-28.19	4.05	0.63	0.08	0.27	
1157.00	1671.00	-5.19	-28.33	3.66	0.62	0.05	0.28	
1220.00	1671.00	-2.59	-28.39	3.49	0.60	0.04	0.29	
1283.00	1671.00	0.01	-28.35	3.62	0.58	0.02	0.29	
1346.00	1671.00	2.61	-28.41	3.46	0.56	0.02	0.31	
1409.00	1671.00	5.24	-28.64	2.88	0.55	0.01	0.35	
1472.00	1671.00	7.91	-29.02	1.88	0.56	-0.01	0.40	
1535.00	1671.00	10.65	-29.60	0.32	0.55	-0.04	0.39	
1598.00	1671.00	13.52	-30.41	-1.94	0.47	-0.08	0.32	
1661.00	1671.00	16.46	-31.20	-4.10	0.39	-0.11	0.24	
1724.00	1671.00	19.37	-31.69	-5.42	0.33	-0.13	0.16	
905.00	1734.00	-15.60	-30.90	4.18	0.65	0.16	0.49	
968.00	1734.00	-12.94	-30.66	4.87	0.69	0.17	0.48	
1031.00	1734.00	-10.37	-30.77	4.51	0.67	0.12	0.36	
1094.00	1734.00	-7.77	-30.69	4.71	0.65	0.09	0.35	
1157.00	1734.00	-5.19	-30.80	4.41	0.64	0.06	0.36	
1220.00	1734.00	-2.59	-30.81	4.38	0.62	0.04	0.37	
1283.00	1734.00	0.01	-30.80	4.42	0.60	0.03	0.39	
1346.00	1734.00	2.61	-30.93	4.12	0.58	0.02	0.42	
1409.00	1734.00	5.24	-31.22	3.39	0.57	-0.00	0.45	
1472.00	1734.00	7.91	-31.61	2.42	0.57	-0.02	0.49	
1535.00	1734.00	10.64	-32.14	1.04	0.56	-0.04	0.47	
1598.00	1734.00	13.50	-32.95	-1.06	0.49	-0.08	0.40	
1661.00	1734.00	16.44	-33.82	-3.35	0.41	-0.10	0.34	
1724.00	1734.00	19.36	-34.37	-4.78	0.35	-0.11	0.26	
905.00	1797.00	-15.61	-33.46	4.64	0.66	0.16	0.54	
968.00	1797.00	-12.95	-33.21	5.28	0.70	0.17	0.53	
1031.00	1797.00	-10.40	-33.45	4.69	0.68	0.12	0.43	
1094.00	1797.00	-7.79	-33.39	4.87	0.67	0.09	0.44	
1157.00	1797.00	-5.19	-33.36	4.92	0.65	0.06	0.45	
1220.00	1797.00	-2.59	-33.27	5.16	0.64	0.04	0.46	
1283.00	1797.00	0.00	-33.25	5.26	0.61	0.03	0.47	
1346.00	1797.00	2.60	-33.40	4.89	0.60	0.02	0.50	
1409.00	1797.00	5.23	-33.72	4.11	0.58	-0.01	0.53	
1472.00	1797.00	7.90	-34.11	3.18	0.58	-0.03	0.54	
1535.00	1797.00	10.62	-34.63	1.90	0.56	-0.04	0.53	
1598.00	1797.00	13.47	-35.48	-0.20	0.50	-0.07	0.48	
1661.00	1797.00	16.44	-36.49	-2.74	0.42	-0.09	0.42	
1724.00	1797.00	19.37	-37.08	-4.20	0.36	-0.11	0.35	
905.00	1860.00	-15.61	-35.96	5.31	0.65	0.14	0.54	
968.00	1860.00	-12.96	-35.78	5.78	0.72	0.17	0.59	
1031.00	1860.00	-10.43	-36.20	4.75	0.70	0.12	0.52	
1094.00	1860.00	-7.80	-36.04	5.15	0.68	0.08	0.51	
1157.00	1860.00	-5.19	-35.98	5.30	0.67	0.05	0.53	
1220.00	1860.00	-2.59	-35.86	5.58	0.66	0.03	0.55	
1283.00	1860.00	0.01	-35.82	5.72	0.63	0.03	0.56	
1346.00	1860.00	2.61	-35.96	5.41	0.61	0.01	0.59	
1409.00	1860.00	5.23	-36.29	4.67	0.60	-0.01	0.61	
1472.00	1860.00	7.91	-36.71	3.67	0.59	-0.03	0.61	
1535.00	1860.00	10.64	-37.30	2.31	0.56	-0.04	0.61	
1598.00	1860.00	13.51	-38.25	0.03	0.50	-0.07	0.57	
1661.00	1860.00	16.46	-39.23	-2.31	0.43	-0.10	0.50	
1724.00	1860.00	19.37	-39.80	-3.61	0.36	-0.13	0.38	
905.00	1923.00	-15.57	-38.32	6.25	0.65	0.13	0.53	
968.00	1923.00	-12.95	-38.22	6.45	0.70	0.14	0.58	
1031.00	1923.00	-10.46	-38.92	4.92	0.71	0.12	0.59	
1094.00	1923.00	-7.82	-38.72	5.42	0.70	0.08	0.58	
1157.00	1923.00	-5.20	-38.58	5.75	0.69	0.06	0.61	
1220.00	1923.00	-2.59	-38.47	6.02	0.67	0.04	0.63	
1283.00	1923.00	0.01	-38.46	6.06	0.65	0.02	0.66	
1346.00	1923.00	2.61	-38.57	5.82	0.64	-0.00	0.69	
1409.00	1923.00	5.25	-38.96	4.98	0.63	-0.02	0.71	
1472.00	1923.00	7.93	-39.45	3.89	0.61	-0.03	0.71	
1535.00	1923.00	10.68	-40.11	2.38	0.58	-0.04	0.71	
1598.00	1923.00	13.53	-41.00	0.36	0.53	-0.06	0.68	
1661.00	1923.00	16.45	-41.84	-1.52	0.46	-0.08	0.60	
