Date : 2024/09/17 16:56:06
Nom du projet : Pharynx-silicone-H3-2
Emplacement du projet : P:\Projets_2024\COSSE\Pharynx-silicone-H3-2\
Légende : 
	Niveau de référence : 0
	Niveau courant : 1
	Paramètres Q4 : 
		Taille d'un élément : 64
		Nombre maximum d'itérations : 5
		Seuil de convergence : 0.001
Commentaires utilisateurs : 
	Opérateur : 
	Lieu : 
	Date : 
	Distance Caméras : 
	Angle caméras : 
	Distance du Capteur à l'objet : 

X(px)	Y(px)	X0(mm)	Y0(mm)	Z0(mm)	DX(mm)	DY(mm)	DZ(mm)	
1472.00	159.00	7.80	33.05	-7.38	1.10	-0.03	0.17	
1535.00	159.00	10.50	33.10	-8.74	1.10	-0.06	0.16	
1598.00	159.00	13.29	33.20	-10.71	1.10	-0.07	0.14	
1661.00	159.00	16.20	33.31	-13.21	1.06	-0.07	0.08	
1724.00	159.00	19.08	33.38	-14.75	1.03	-0.09	0.03	
968.00	222.00	-13.29	30.47	-10.92	0.99	0.23	0.20	
1031.00	222.00	-10.51	30.42	-9.11	1.04	0.19	0.26	
1094.00	222.00	-7.82	30.46	-7.84	1.04	0.16	0.23	
1157.00	222.00	-5.19	30.41	-7.08	1.04	0.13	0.21	
1220.00	222.00	-2.58	30.39	-6.29	1.05	0.09	0.17	
1283.00	222.00	0.00	30.43	-5.08	1.08	0.05	0.21	
1346.00	222.00	2.56	30.38	-4.72	1.09	0.01	0.17	
1409.00	222.00	5.13	30.39	-4.89	1.07	-0.02	0.13	
1472.00	222.00	7.74	30.43	-5.87	1.07	-0.04	0.11	
1535.00	222.00	10.43	30.49	-7.46	1.07	-0.07	0.09	
1598.00	222.00	13.17	30.53	-8.97	1.07	-0.08	0.09	
1661.00	222.00	16.03	30.59	-11.15	1.06	-0.10	0.07	
1724.00	222.00	18.98	30.68	-13.55	1.01	-0.10	-0.01	
905.00	285.00	-16.06	27.89	-11.67	0.95	0.26	0.14	
968.00	285.00	-13.23	27.84	-9.81	0.99	0.23	0.20	
1031.00	285.00	-10.47	27.80	-8.14	1.01	0.19	0.23	
1094.00	285.00	-7.81	27.83	-7.12	1.02	0.16	0.20	
1157.00	285.00	-5.18	27.82	-6.25	1.02	0.12	0.15	
1220.00	285.00	-2.56	27.83	-4.45	1.06	0.08	0.19	
1283.00	285.00	-0.00	27.85	-3.43	1.06	0.03	0.17	
1346.00	285.00	2.55	27.85	-3.83	1.05	0.00	0.10	
1409.00	285.00	5.11	27.86	-4.00	1.06	-0.02	0.10	
1472.00	285.00	7.68	27.88	-4.25	1.06	-0.05	0.09	
1535.00	285.00	10.34	27.89	-5.72	1.04	-0.06	0.05	
1598.00	285.00	13.09	27.91	-7.69	1.03	-0.08	0.03	
