Date : 2024/09/17 16:56:09
Nom du projet : Pharynx-silicone-H3-2
Emplacement du projet : P:\Projets_2024\COSSE\Pharynx-silicone-H3-2\
Légende : 
	Niveau de référence : 0
	Niveau courant : 6
	Paramètres Q4 : 
		Taille d'un élément : 64
		Nombre maximum d'itérations : 5
		Seuil de convergence : 0.001
Commentaires utilisateurs : 
	Opérateur : 
	Lieu : 
	Date : 
	Distance Caméras : 
	Angle caméras : 
	Distance du Capteur à l'objet : 

X(px)	Y(px)	X0(mm)	Y0(mm)	Z0(mm)	DX(mm)	DY(mm)	DZ(mm)	
1283.00	33.00	0.02	38.44	-11.74	1.44	0.63	0.75	
1346.00	33.00	2.67	38.45	-11.36	1.45	0.59	0.73	
1409.00	33.00	5.30	38.38	-10.66	1.44	0.53	0.72	
1472.00	33.00	8.04	38.52	-12.67	1.44	0.48	0.69	
1535.00	33.00	10.82	38.67	-14.29	1.38	0.42	0.63	
1031.00	96.00	-10.73	35.89	-13.38	1.44	0.77	0.67	
1094.00	96.00	-7.96	35.82	-11.58	1.42	0.74	0.69	
1157.00	96.00	-5.26	35.74	-10.32	1.42	0.69	0.72	
1220.00	96.00	-2.61	35.71	-9.69	1.41	0.66	0.73	
1283.00	96.00	0.01	35.68	-9.27	1.42	0.61	0.75	
1346.00	96.00	2.63	35.66	-8.85	1.43	0.55	0.72	
1409.00	96.00	5.22	35.64	-8.25	1.43	0.50	0.70	
1472.00	96.00	7.90	35.72	-9.58	1.42	0.44	0.66	
1535.00	96.00	10.64	35.83	-11.27	1.39	0.39	0.59	
1598.00	96.00	13.49	35.97	-13.52	1.27	0.34	0.45	
1661.00	96.00	16.42	36.08	-15.86	1.12	0.28	0.24	
968.00	159.00	-13.42	33.18	-13.00	1.45	0.75	0.60	
1031.00	159.00	-10.59	33.09	-10.82	1.42	0.70	0.61	
1094.00	159.00	-7.87	33.08	-9.24	1.38	0.65	0.60	
1157.00	159.00	-5.21	33.05	-8.19	1.37	0.62	0.61	
1220.00	159.00	-2.59	33.02	-7.76	1.37	0.59	0.64	
1283.00	159.00	0.01	33.00	-7.27	1.37	0.55	0.64	
1346.00	159.00	2.59	32.99	-6.78	1.38	0.49	0.64	
1409.00	159.00	5.15	32.97	-6.02	1.38	0.44	0.62	
1472.00	159.00	7.80	33.05	-7.38	1.38	0.39	0.59	
1535.00	159.00	10.50	33.10	-8.74	1.36	0.34	0.53	
1598.00	159.00	13.29	33.20	-10.71	1.32	0.30	0.48	
1661.00	159.00	16.20	33.31	-13.21	1.14	0.26	0.25	
1724.00	159.00	19.08	33.38	-14.75	1.03	0.22	0.10	
968.00	222.00	-13.29	30.47	-10.92	1.44	0.72	0.49	
1031.00	222.00	-10.51	30.42	-9.11	1.38	0.64	0.46	
1094.00	222.00	-7.82	30.46	-7.84	1.33	0.60	0.47	
1157.00	222.00	-5.19	30.41	-7.08	1.33	0.57	0.49	
1220.00	222.00	-2.58	30.39	-6.29	1.33	0.54	0.52	
1283.00	222.00	0.00	30.43	-5.08	1.35	0.48	0.57	
1346.00	222.00	2.56	30.38	-4.72	1.32	0.43	0.53	
1409.00	222.00	5.13	30.39	-4.89	1.32	0.40	0.50	
1472.00	222.00	7.74	30.43	-5.87	1.31	0.37	0.49	
1535.00	222.00	10.43	30.49	-7.46	1.29	0.32	0.41	
1598.00	222.00	13.17	30.53	-8.97	1.26	0.28	0.37	
1661.00	222.00	16.03	30.59	-11.15	1.18	0.23	0.28	
1724.00	222.00	18.98	30.68	-13.55	1.04	0.19	0.09	
905.00	285.00	-16.06	27.89	-11.67	1.45	0.74	0.34	
968.00	285.00	-13.23	27.84	-9.81	1.39	0.68	0.34	
1031.00	285.00	-10.47	27.80	-8.14	1.34	0.62	0.33	
1094.00	285.00	-7.81	27.83	-7.12	1.31	0.58	0.36	
1157.00	285.00	-5.18	27.82	-6.25	1.31	0.54	0.41	
